-1.498125,6.9999997498555215,1.553279180644404e-07,0.9999993207571417,3.007359882839499e-06,-3.347648529829714e-06,2.866693837921898e-06,-1.9209659032785807e-06,1.0143409156788944e-06,-4.177160460764135e-07,1.280976990412472e-07,-2.468952483277847e-08
-1.494375,6.999999737051672,1.6246657001724405e-07,0.9999992931406495,3.1394506121823007e-06,-3.4912722413535036e-06,2.9890829697290767e-06,-2.002912549057029e-06,1.05760227457884e-06,-4.355286466779193e-07,1.3355954182861683e-07,-2.5742181581423285e-08
-1.490625,6.9999997213893215,1.7121804537218762e-07,0.9999992606538917,3.288063302687481e-06,-3.6515396082451447e-06,3.1256419524632757e-06,-2.0943759562078143e-06,1.1058879492670118e-06,-4.5540862858681445e-07,1.396551257711516e-07,-2.6916981845534307e-08
-1.486875,6.999999704899736,1.8065880109746307e-07,0.9999992261050231,3.4416673184486567e-06,-3.816689692620664e-06,3.2664467750939878e-06,-2.1886969509308783e-06,1.155676851134888e-06,-4.759059886120331e-07,1.4593996564255679e-07,-2.812827838402222e-08
-1.483125,6.999999688077594,1.9054760095008716e-07,0.9999991900156283,3.5989699699710115e-06,-3.985653842823803e-06,3.410576845313894e-06,-2.2852400220099644e-06,1.2066312805799376e-06,-4.968820328789401e-07,1.523716043652386e-07,-2.9367886358235104e-08
-1.479375,6.99999967099038,2.008025660057887e-07,0.9999991525411975,3.7597935051397613e-06,-4.158339037917464e-06,3.55791827816308e-06,-2.3839169727802214e-06,1.2587046298245903e-06,-5.183178867541612e-07,1.5894423119958633e-07,-3.0634670499497066e-08
-1.475625,6.999999653574519,2.113945794147057e-07,0.9999991137449602,3.924105305194848e-06,-4.334724341199008e-06,3.7084209314408478e-06,-2.4846877425191646e-06,1.3118762385434717e-06,-5.402051484070354e-07,1.6565519391096072e-07,-3.192810128247489e-08
-1.471875,6.999999635734904,2.2231527977439322e-07,0.9999990736570211,4.091894644841324e-06,-4.514782510987783e-06,3.862035457378448e-06,-2.5875155121039616e-06,1.3661269499938479e-06,-5.625358338891968e-07,1.725019498046908e-07,-3.3247672515008455e-08
-1.468125,6.9999996173794665,2.3356531787941245e-07,0.9999990322924536,4.263153509156704e-06,-4.698477839345034e-06,4.018710097306431e-06,-2.6923628328645544e-06,1.4214368249759768e-06,-5.853014773834079e-07,1.7948180440026928e-07,-3.459285207264427e-08
-1.464375,6.999999598429506,2.451496666838572e-07,0.9999989896579837,4.437874142247299e-06,-4.885769693148415e-06,4.178391817493881e-06,-2.799191442228604e-06,1.4777849911575786e-06,-6.084930984470236e-07,1.8659190307774254e-07,-3.5963079407188456e-08
-1.460625,6.999999578820813,2.570756756194868e-07,0.9999989457546875,4.616050121470834e-06,-5.076615668547612e-06,4.3410274566399665e-06,-2.9079624888456513e-06,1.5351497556950071e-06,-6.321012603649227e-07,1.9382924464811384e-07,-3.735776665380739e-08
-1.456875,6.999999558501549,2.693522612524802e-07,0.9999989005790716,4.797678374979252e-06,-5.270974265443025e-06,4.50656480913648e-06,-3.018636891458913e-06,1.5935087826160491e-06,-6.561161410974147e-07,2.0119069651728818e-07,-3.8776300021269526e-08
-1.453125,6.999999537429238,2.8198959715972815e-07,0.9999988541233963,4.98276158751959e-06,-5.4688073713153315e-06,4.674953767017957e-06,-3.1311758014739115e-06,1.652839302172186e-06,-6.805276065314041e-07,2.0867300979781142e-07,-4.021804133455198e-08
-1.449375,6.999999515567804,2.94999042327731e-07,0.999998806375572,5.17131090819499e-06,-5.670082755749014e-06,4.846147584846148e-06,-3.2455411572574004e-06,1.7131183415753648e-06,-7.053252835978558e-07,2.162728340028793e-07,-4.168232966379448e-08
-1.445625,6.999999492884941,3.0839320089875425e-07,0.999998757318768,5.3633489886591e-06,-5.874776702028694e-06,5.0201042978398936e-06,-3.3616963213348953e-06,1.7743229718015055e-06,-7.304986319581686e-07,2.2398673083410125e-07,-4.316848288635284e-08
-1.441875,6.999999469349875,3.2218606912245093e-07,0.9999987069307882,5.558913405997188e-06,-6.082876861968515e-06,5.196788311103565e-06,-3.479606794338053e-06,1.836430566986022e-06,-7.560370130573889e-07,2.318111864393643e-07,-4.4675798989374324e-08
-1.438125,6.999999444931464,3.3639325295973767e-07,0.9999986551832428,5.758060530094467e-06,-6.294385400681927e-06,5.376172174625774e-06,-3.599241002029455e-06,1.8994190736892585e-06,-7.819297552290959e-07,2.397426214426177e-07,-4.6203556910590646e-08
-1.434375,6.999999419596559,3.510322518202116e-07,0.999998602040519,5.960869897921179e-06,-6.509322488585277e-06,5.558238559130321e-06,-3.7205711538761928e-06,1.9632672876953153e-06,-8.08166213410756e-07,2.4777739801146115e-07,-4.775101671725193e-08
-1.430625,6.999999393308544,3.6612280880725937e-07,0.9999985474585491,6.167449159220273e-06,-6.727730194189426e-06,5.742982449502856e-06,-3.843574173496489e-06,2.027955136300915e-06,-8.347358219455411e-07,2.5591182321604207e-07,-4.931741892956385e-08
-1.426875,6.999999366025969,3.8168733091342416e-07,0.9999984913833655,6.37793966176666e-06,-6.949676829904807e-06,5.930413574484569e-06,-3.968232702919413e-06,2.093463964351074e-06,-8.616281389197435e-07,2.641421479371336e-07,-5.090198280299456e-08
-1.423125,6.999999337701236,3.9775138375743784e-07,0.9999984337494309,6.5925227474638755e-06,-7.175261803122008e-06,6.1205590932600205e-06,-4.094536184014075e-06,2.1597768226097088e-06,-8.888328805120377e-07,2.724645605996132e-07,-5.2503903392812976e-08
-1.419375,6.999999308279235,4.1434426629652184e-07,0.9999983744777203,6.81142683394941e-06,-7.4046210252926835e-06,6.313466561236535e-06,-4.222482021649985e-06,2.2268787574132603e-06,-9.163399439056305e-07,2.8087517503878863e-07,-5.41223472343768e-08
-1.415625,6.999999277695932,4.3149967153243177e-07,0.9999983134735404,7.034935357191148e-06,-7.637932931906027e-06,6.5092071985417635e-06,-4.3520768341364196e-06,2.2947571009293966e-06,-9.441394174294588e-07,2.89370011850764e-07,-5.575644648440281e-08
-1.411875,6.999999245876834,4.492564396960556e-07,0.9999982506240581,7.263395651363023e-06,-7.87542516603709e-06,6.70787948539727e-06,-4.483337797211075e-06,2.3634017617117284e-06,-9.722215767434257e-07,2.979449726342729e-07,-5.740529138215069e-08
-1.408125,6.999999212735305,4.6765941067131445e-07,0.9999981857955205,7.497228840495215e-06,-8.117381976345074e-06,6.909613108365619e-06,-4.616294088269395e-06,2.432805515585537e-06,-1.0005768660594727e-06,3.065958066003144e-07,-5.906792090553977e-08
-1.404375,6.999999178170706,4.867603825746446e-07,0.9999981188301396,7.736940812288062e-06,-8.36415237744368e-06,7.114573280387105e-06,-4.750988437585433e-06,2.502964297198979e-06,-1.0291958635905693e-06,3.153180691078385e-07,-6.074331151607436e-08
-1.400625,6.999999142066327,5.066191832143079e-07,0.999998049542622,7.98313433720926e-06,-8.616159115311066e-06,7.322965455299931e-06,-4.8874787929232705e-06,2.573877492811831e-06,-1.0580692306397763e-06,3.2410707177910384e-07,-6.243036390842954e-08
-1.396875,6.9999991042870935,5.273048609868191e-07,0.9999979777163228,8.236522386434283e-06,-8.873908473171381e-06,7.535040454043687e-06,-5.025840103117872e-06,2.6455482350519545e-06,-1.0871876439786895e-06,3.329578239577422e-07,-6.41278877059678e-08
-1.393125,6.999999064677021,5.488970011716112e-07,0.9999979030990074,8.497942688817495e-06,-9.138000943033362e-06,7.75110001484351e-06,-5.166166224864498e-06,2.7179837004352418e-06,-1.1165417114169857e-06,3.418649653966168e-07,-6.583458407261375e-08
-1.389375,6.999999023056399,5.714871724813609e-07,0.9999978253982078,8.768373549160793e-06,-9.409142775450477e-06,7.971502773176442e-06,-5.308571955054969e-06,2.791195410405584e-06,-1.146121870731089e-06,3.508226902018252e-07,-6.754902624465691e-08
-1.385625,6.999998979218708,5.951805077317906e-07,0.9999977442761674,9.048950929873982e-06,-9.688158403824431e-06,8.196670669215068e-06,-5.453195188506631e-06,2.865199536499164e-06,-1.1759182723993483e-06,3.5982466221412387e-07,-6.926963802337753e-08
-1.381875,6.999998932927231,6.200974207232875e-07,0.9999976593443703,9.340986771460958e-06,-9.976003720541444e-06,8.427095770650588e-06,-5.600199197818036e-06,2.940017209966736e-06,-1.2059206468828873e-06,3.6886392217986794e-07,-7.099467031099842e-08
-1.378125,6.999998883911393,6.463754594509489e-07,0.9999975701576655,9.645988498289286e-06,-1.0273780159961849e-05,8.663347487245245e-06,-5.749775028356944e-06,3.0156748357973164e-06,-1.2361181574949347e-06,3.7793278725011146e-07,-7.272217581835738e-08
-1.3743750000000001,6.999998831862785,6.741712935478721e-07,0.9999974762079978,9.965679622587718e-06,-1.0582749517607711e-05,8.906080140282984e-06,-5.902143997056963e-06,3.0922044105799646e-06,-1.2664992402159477e-06,3.8702274354817164e-07,-7.444998212272678e-08
