0,1,2,3,4,5
-2.0,2.0,0.0,0.0,0.0,0.0
-1.9899665551839465,2.0,0.0,0.0,0.0,0.0
-1.979933110367893,2.0,0.0,0.0,0.0,0.0
-1.9698996655518395,2.0,0.0,0.0,0.0,0.0
-1.959866220735786,2.0,0.0,0.0,0.0,0.0
-1.9498327759197325,2.0,0.0,0.0,0.0,0.0
-1.939799331103679,2.0,0.0,0.0,0.0,0.0
-1.9297658862876255,2.0,0.0,0.0,0.0,0.0
-1.919732441471572,2.0,0.0,0.0,0.0,0.0
-1.9096989966555185,2.0,0.0,0.0,0.0,0.0
-1.899665551839465,2.0,0.0,0.0,0.0,0.0
-1.8896321070234114,2.0,0.0,0.0,0.0,0.0
-1.879598662207358,2.0,0.0,0.0,0.0,0.0
-1.8695652173913044,2.0,0.0,0.0,0.0,0.0
-1.859531772575251,2.0,0.0,0.0,0.0,0.0
-1.8494983277591972,2.0,0.0,0.0,0.0,0.0
-1.839464882943144,2.0,0.0,0.0,0.0,0.0
-1.8294314381270902,2.0,0.0,0.0,0.0,0.0
-1.819397993311037,2.0,0.0,0.0,0.0,0.0
-1.8093645484949832,2.0,0.0,0.0,0.0,0.0
-1.7993311036789297,2.0,0.0,0.0,0.0,0.0
-1.7892976588628762,2.0,0.0,0.0,0.0,0.0
-1.7792642140468227,2.0,0.0,0.0,0.0,0.0
-1.7692307692307692,2.0,0.0,0.0,0.0,0.0
-1.7591973244147157,2.0,0.0,0.0,0.0,0.0
-1.7491638795986622,2.0,0.0,0.0,0.0,0.0
-1.7391304347826086,2.0,0.0,0.0,0.0,0.0
-1.7290969899665551,2.0,0.0,0.0,0.0,0.0
-1.7190635451505016,2.0,0.0,0.0,0.0,0.0
-1.7090301003344481,2.0,0.0,0.0,0.0,0.0
-1.6989966555183946,2.0,0.0,0.0,0.0,0.0
-1.6889632107023411,2.0,0.0,0.0,0.0,0.0
-1.6789297658862876,2.0,0.0,0.0,0.0,0.0
-1.6688963210702341,2.0,0.0,0.0,0.0,0.0
-1.6588628762541806,2.0,0.0,0.0,0.0,0.0
-1.648829431438127,2.0,0.0,0.0,0.0,0.0
-1.6387959866220736,2.0,0.0,0.0,0.0,0.0
-1.62876254180602,2.0,0.0,0.0,0.0,0.0
-1.6187290969899666,2.0,0.0,0.0,0.0,0.0
-1.608695652173913,2.0,0.0,0.0,0.0,0.0
-1.5986622073578596,2.0,0.0,0.0,0.0,0.0
-1.588628762541806,2.0,0.0,0.0,0.0,0.0
-1.5785953177257526,2.0,0.0,0.0,0.0,0.0
-1.568561872909699,2.0,0.0,0.0,0.0,0.0
-1.5585284280936453,2.0,0.0,0.0,0.0,0.0
-1.548494983277592,2.0,0.0,0.0,0.0,0.0
-1.5384615384615383,2.0,0.0,0.0,0.0,0.0
-1.528428093645485,2.0,0.0,0.0,0.0,0.0
-1.5183946488294313,2.0,0.0,0.0,0.0,0.0
-1.508361204013378,2.0,0.0,0.0,0.0,0.0
-1.4983277591973243,2.0,0.0,0.0,0.0,0.0
-1.488294314381271,2.0,0.0,0.0,0.0,0.0
-1.4782608695652173,2.0,0.0,0.0,0.0,0.0
-1.468227424749164,2.0,0.0,0.0,0.0,0.0
-1.4581939799331103,2.0,0.0,0.0,0.0,0.0
-1.448160535117057,2.0,0.0,0.0,0.0,0.0
-1.4381270903010033,2.0,0.0,0.0,0.0,0.0
-1.4280936454849498,2.0,0.0,0.0,0.0,0.0
-1.4180602006688963,2.0,0.0,0.0,0.0,0.0
-1.4080267558528428,2.0,0.0,0.0,0.0,0.0
-1.3979933110367893,2.0,0.0,0.0,0.0,0.0
-1.3879598662207357,2.0,0.0,0.0,0.0,0.0
-1.3779264214046822,2.0,0.0,0.0,0.0,0.0
-1.3678929765886287,2.0,0.0,0.0,0.0,0.0
-1.3578595317725752,2.0,0.0,0.0,0.0,0.0
-1.3478260869565217,2.0,0.0,0.0,0.0,0.0
-1.3377926421404682,2.0,0.0,0.0,0.0,0.0
-1.3277591973244147,2.0,0.0,0.0,0.0,0.0
-1.3177257525083612,2.0,0.0,0.0,0.0,0.0
-1.3076923076923077,2.0,0.0,0.0,0.0,0.0
-1.2976588628762542,2.0,0.0,0.0,0.0,0.0
-1.2876254180602007,2.0,0.0,0.0,0.0,0.0
-1.2775919732441472,2.0,0.0,0.0,0.0,0.0
-1.2675585284280935,2.0,0.0,0.0,0.0,0.0
-1.2575250836120402,2.0,0.0,0.0,0.0,0.0
-1.2474916387959865,2.0,0.0,0.0,0.0,0.0
-1.2374581939799332,2.0,0.0,0.0,0.0,0.0
-1.2274247491638794,2.0,0.0,0.0,0.0,0.0
-1.2173913043478262,2.0,0.0,0.0,0.0,0.0
-1.2073578595317724,2.0,0.0,0.0,0.0,0.0
-1.1973244147157192,2.0,0.0,0.0,0.0,0.0
