-0.9975,2.0,0.0,0.0,0.0,0.0
-0.9925,2.0,3.5698566314077426e-66,-9.120022618208534e-69,-1.5193457288578908e-68,-2.121594615704417e-68
-0.9875,2.0,5.99406593788177e-63,-1.535009489629711e-65,-2.5572388829805455e-65,-3.5708727017935055e-65
-0.9825,2.0,6.319488554116454e-60,-1.620657155764573e-62,-2.6999213425224493e-62,-3.770097275383904e-62
-0.9775,2.0,2.7453905187056847e-57,-7.079123181405509e-60,-1.1793382654046832e-59,-1.6467727070789533e-59
-0.9725,2.0,8.754039223482765e-55,-2.2649035295436813e-57,-3.7731839205893577e-57,-5.268650166085186e-57
-0.9675,2.0,2.5430715483983985e-52,-6.5878305253726e-55,-1.0974896607655544e-54,-1.532464273604188e-54
-0.9625,2.0,6.555656160298129e-50,-1.701235842322858e-52,-2.8341458986854332e-52,-3.957401441976369e-52
-0.9575,2.0,1.694122109981492e-47,-4.396247971863104e-50,-7.323857064476007e-50,-1.0226517379471347e-49
-0.9525,2.0,2.3010600609759936e-45,-6.054886987324078e-48,-1.0086978112275618e-47,-1.4084236155454027e-47
-0.9475,2.0,2.2543226784991166e-43,-6.000271766653426e-46,-9.995941345688365e-46,-1.3956692697020251e-45
-0.9425,2.0,2.964810321333394e-41,-7.811800181534355e-44,-1.301384889516583e-43,-1.8170864681193645e-43
-0.9375,2.0,3.3162432560462277e-39,-8.782921103448254e-42,-1.4631629364759036e-41,-2.0429467181471924e-41
-0.9325,2.0,4.994297560842967e-37,-1.3107622633055019e-39,-2.1836314947362315e-39,-3.048974889945916e-39
-0.9275,2.0,5.168918877121167e-35,-1.3727773010569625e-37,-2.2869322605667196e-37,-3.1931159530734788e-37
-0.9225,2.0,4.0384445860920694e-33,-1.0861136280901574e-35,-1.809364211723587e-35,-2.5262287803440606e-35
-0.9175,2.0,2.7509930548988925e-31,-7.455686544014435e-34,-1.2420434303942297e-33,-1.7340995437740292e-33
-0.9125,2.0,1.9066629712994574e-29,-5.163411990528363e-32,-8.601733362962354e-32,-1.2009462066201498e-31
-0.9075,2.0,2.7402803830036245e-27,-7.20325400272925e-30,-1.2000068270751302e-29,-1.675543297382978e-29
-0.9025,2.0,2.364468820589959e-25,-6.327518385312797e-28,-1.0541081690809103e-27,-1.4717633158998857e-27
-0.8975,2.0,1.615956067693666e-23,-4.378107125074346e-26,-7.293494263532453e-26,-1.0182949771554112e-25
-0.8925,2.0,1.0300405642790551e-21,-2.8032108450977924e-24,-4.669861785866372e-24,-6.519826770287902e-24
-0.8875,2.0,6.458864201935159e-20,-1.7597699224348711e-22,-2.931594334864702e-22,-4.09292937435372e-22
-0.8825000000000001,2.0,4.034483951605625e-18,-1.0995296654881965e-20,-1.8317021939305438e-20,-2.557318586815809e-20
-0.8775,1.9999999999999998,9.384167931964587e-17,-2.827385562017287e-19,-4.709932381756889e-19,-6.574097853577688e-19
-0.8725,1.9999999999999991,5.821925457381406e-16,-2.1439724540916575e-18,-3.571124929863422e-18,-4.981578715673925e-18
-0.8674999999999999,1.9999999999999962,2.691294358771895e-15,-1.0585305473484742e-17,-1.76307304209466e-17,-2.4587840526835264e-17
-0.8625,1.9999999999999842,1.1241979509338986e-14,-4.61916456112147e-17,-7.693307122483538e-17,-1.072658165787598e-16
-0.8575,1.9999999999999374,4.420872924406435e-14,-1.8795618131060835e-16,-3.1303607657600177e-16,-4.3638796963464932e-16
