-0.9975,2.0,0.0,0.0,0.0
-0.9925,2.0,0.0,0.0,0.0
-0.9875,2.0,0.0,0.0,0.0
-0.9825,2.0,0.0,0.0,0.0
-0.9775,2.0,0.0,0.0,0.0
-0.9725,2.0,0.0,0.0,0.0
-0.9675,2.0,4.080251755581106e-63,-6.541377659157536e-64,-9.846963264989573e-64
-0.9625,2.0,1.8935086748180077e-59,-3.037243115721449e-60,-4.5716909479225656e-60
-0.9575,2.0,9.739724040791278e-57,-1.568916444067414e-57,-2.3599946422487394e-57
-0.9525,2.0,8.511930471184888e-54,-1.3684590064863456e-54,-2.059082478665374e-54
-0.9475,2.0,3.2434964546545327e-51,-5.233479627681631e-52,-7.870242719318716e-52
-0.9425,2.0,9.962671493901078e-49,-1.610000465014911e-49,-2.4205626358160235e-49
-0.9375,2.0,2.8401834851406412e-46,-4.592673084043744e-47,-6.904188472398953e-47
-0.9325,2.0,8.074316009572262e-44,-1.305677406548954e-44,-1.9628212905924734e-44
-0.9275,2.0,1.0463875193302283e-41,-1.709442784238456e-42,-2.5657203513498985e-42
-0.9225,2.0,1.817812596802652e-39,-2.955730008701019e-40,-4.4393940949813266e-40
-0.9175,2.0,2.0090571718803085e-37,-3.292793526658806e-38,-4.939570907566956e-38
-0.9125,2.0,3.452375866708342e-35,-5.614431592133077e-36,-8.432353876192995e-36
-0.9075,2.0,3.5672973822768506e-33,-5.85560232138313e-34,-8.781992701265942e-34
-0.9025,2.0,2.7394632116006604e-31,-4.533341601710951e-32,-6.789938657785479e-32
-0.8975,2.0,4.3273281603699577e-29,-7.046378065450243e-30,-1.0580490191367639e-29
-0.8925,2.0,3.896441582790224e-27,-6.417951004897162e-28,-9.620148842701941e-28
-0.8875,2.0,2.7758650697182805e-25,-4.6049000711453376e-26,-6.894282782709451e-26
-0.8825000000000001,2.0,1.7997574040343163e-23,-2.995747149421046e-24,-4.482468008717257e-24
-0.8775,2.0,1.1358577066175884e-21,-1.8926351298356057e-22,-2.8313547662617237e-22
-0.8725,2.0,7.072486489380619e-20,-1.179079094672228e-20,-1.7637210317588604e-20
-0.8674999999999999,2.0,1.443692074198677e-17,-2.3426661850667764e-18,-3.5195245042273215e-18
-0.8625,1.9999999999999998,1.729902316508915e-16,-3.34414612618768e-17,-4.898007092505556e-17
-0.8575,1.9999999999999987,8.378933464176125e-16,-1.6610955791166887e-16,-2.4098882498214163e-16
-0.8525,1.9999999999999944,3.7478418398256304e-15,-7.742336603804587e-16,-1.1103744234032415e-15
-0.8475,1.9999999999999767,1.559818836555757e-14,-3.2774206979862324e-15,-4.674182868945117e-15
-0.8425,1.9999999999999085,6.108658624073448e-14,-1.3037026885503213e-14,-1.8505736181639047e-14
-0.8375,1.9999999999996585,2.2794216827060756e-13,-4.9374654073671395e-14,-6.978003535182917e-14
-0.8325,1.9999999999987839,8.115844873308247e-13,-1.7826858080714744e-13,-2.509236452458726e-13
-0.8275,1.9999999999958635,2.7598978896558887e-12,-6.14817812239568e-13,-8.618046796600884e-13
-0.8225,1.9999999999865408,8.977744579005419e-12,-2.028689920238412e-12,-2.8313629238491242e-12
-0.8175,1.9999999999580562,2.7969439146251394e-11,-6.412376283578286e-12,-8.90902536957826e-12
-0.8125,1.9999999998746751,8.354464953429199e-11,-1.9437504496725283e-11,-2.687742919114897e-11
-0.8075,1.999999999640598,2.3950785810875794e-10,-5.656272555228472e-11,-7.782374459778535e-11
-0.8025,1.999999999009813,6.59640623137718e-10,-1.5816549858585543e-10,-2.1648109770923346e-10
