-0.9975,3.0,8.507321619505462e-22,-1.0388035462417762e-23,-1.7197851218556792e-23,-2.357738485134192e-23,-3.034887894712734e-23,-3.592079846285329e-23
-0.9925,3.0,2.5397363074803084e-20,-3.2040162260051453e-22,-5.303287882466193e-22,-7.265976039218914e-22,-9.352951232930642e-22,-1.1059359593509337e-21
-0.9875,3.0,5.574914444654693e-19,-7.373212762419863e-21,-1.2199802788397039e-20,-1.669702202325524e-20,-2.1493356242760168e-20,-2.5372920732887926e-20
-0.9825,3.0,2.3277807233314117e-17,-2.8518342250815145e-19,-4.721003525287633e-19,-6.470932689348235e-19,-8.32941017227046e-19,-9.855576397333826e-19
-0.9775,2.9999999999999996,2.9050372574943926e-16,-4.291956501928052e-18,-7.096916135951026e-18,-9.694038926600867e-18,-1.2479369464114741e-17,-1.4687068146151874e-17
-0.9725,2.999999999999998,1.3088483572094068e-15,-2.1682581202196048e-17,-3.581122019435059e-17,-4.874871061797041e-17,-6.27575796529824e-17,-7.346762622307272e-17
-0.9675,2.9999999999999925,4.345954396329748e-15,-8.214368165318982e-17,-1.3544566574677873e-16,-1.834966288948055e-16,-2.3622598671166766e-16,-2.744848154192608e-16
-0.9625,2.9999999999999756,1.3825109293889893e-14,-2.740047729729409e-16,-4.514099508043557e-16,-6.100600752558079e-16,-7.853203228203857e-16,-9.090574953766778e-16
-0.9575,2.9999999999999254,4.281416500456834e-14,-8.678394221261076e-16,-1.4290046594315773e-15,-1.928567720376878e-15,-2.4824777541527804e-15,-2.8674978463676854e-15
-0.9525,2.999999999999776,1.2853790692159998e-13,-2.657193145120508e-15,-4.373917402897293e-15,-5.897466554360443e-15,-7.591046143789827e-15,-8.755651538778445e-15
-0.9475,2.999999999999347,3.7510289756052825e-13,-7.891143544200698e-15,-1.2985233090695018e-14,-1.7493125589945575e-14,-2.2515817442885243e-14,-2.5935212623614502e-14
-0.9425,2.9999999999981455,1.0651449250465253e-12,-2.280116758118302e-14,-3.750921947849371e-14,-5.048932622949574e-14,-6.498400509357882e-14,-7.475735072026485e-14
-0.9375,2.9999999999948717,2.9447889942713746e-12,-6.41478715470159e-14,-1.0549622566153165e-13,-1.418887937463753e-13,-1.826175148720711e-13,-2.0981781990211412e-13
-0.9325,2.9999999999861884,7.930518838513745e-12,-1.758321484775654e-13,-2.8908253802259086e-13,-3.884817937382429e-13,-4.999780050488172e-13,-5.736994268568087e-13
-0.9275,2.999999999963755,2.0810733627954198e-11,-4.697507672366798e-13,-7.720673689102702e-13,-1.036643013168941e-12,-1.3341175592287002e-12,-1.5287665012744129e-12
-0.9225,2.9999999999072977,5.3224222041886105e-11,-1.2234795577880292e-12,-2.010218924688649e-12,-2.69667832221488e-12,-3.4703821195445112e-12,-3.971148842452705e-12
-0.9175,2.999999999768849,1.3270437455772797e-10,-3.1075275003177666e-12,-5.104044092716771e-12,-6.840634201802245e-12,-8.802904628348306e-12,-1.0058465910939071e-11
-0.9125,2.9999999994379585,3.226473389424303e-10,-7.69910192069492e-12,-1.2641125446385902e-11,-1.6925723080556137e-11,-2.177992445807039e-11,-2.484862612787979e-11
