-0.9975,1.5,1.1568304646550147e-68,-3.0912436408550516e-70,-3.9431043755398014e-70,-3.798816221918062e-70,-2.899539400973831e-70,-2.3138468713341154e-70,-1.2760230533989917e-70
-0.9925,1.5,1.515514020878231e-66,-4.062706183448417e-68,-5.1795527620255685e-68,-4.985812500241238e-68,-3.802081005302053e-68,-3.0298471042155226e-68,-1.6688359349048495e-68
-0.9875,1.5,1.856438694257722e-64,-4.988314017406945e-66,-6.3571498465571e-66,-6.115570297061647e-66,-4.6604988528037444e-66,-3.7101238471058314e-66,-2.0417137650005327e-66
-0.9825,1.5,2.2020412283610662e-62,-5.923393857900657e-64,-7.547437507111095e-64,-7.258511212022417e-64,-5.529776602418696e-64,-4.400061576896659e-64,-2.4204118501993042e-64
-0.9775,1.5,2.582477754236239e-60,-6.949498402807451e-62,-8.854272131927973e-62,-8.514407424438518e-62,-6.485821282114923e-62,-5.1599077096416616e-62,-2.837980524244721e-62
-0.9725,1.5,2.5425609813232683e-58,-6.88628603428638e-60,-8.76469291540906e-60,-8.414182205016136e-60,-6.39780482135758e-60,-5.075476050365693e-60,-2.7844944328791e-60
-0.9675,1.5,2.0709772777512205e-56,-5.6565137293786875e-58,-7.189561192392635e-58,-6.886757775456156e-58,-5.223829875564006e-58,-4.128780046426691e-58,-2.2577186154910135e-58
-0.9625,1.5,1.571141062462836e-54,-4.307200025989216e-56,-5.471037094747993e-56,-5.235326297050865e-56,-3.966890311347097e-56,-3.1302661757526814e-56,-1.7093703068178237e-56
-0.9575,1.5,1.1101052264896248e-52,-3.055096880910709e-54,-3.8781119452362646e-54,-3.70721632587256e-54,-2.8058919083653486e-54,-2.2103435521882436e-54,-1.2052161367143864e-54
-0.9525,1.5,7.263287458431804e-51,-2.0079083097095293e-52,-2.546924312919905e-52,-2.431789423763018e-52,-1.8381770545307495e-52,-1.445145481401291e-52,-7.866085357550939e-53
-0.9475,1.5,4.870774455838075e-49,-1.3446970220984806e-50,-1.7059852057488352e-50,-1.6293829237187028e-50,-1.2320944276437357e-50,-9.692553422928727e-51,-5.278992504937786e-51
-0.9425,1.5,3.163235071806263e-47,-8.749163882499634e-49,-1.109665843094742e-48,-1.0593370595881835e-48,-8.006207016313954e-49,-6.293002486545737e-49,-3.424812639002708e-49
-0.9375,1.5,1.9336223991981978e-45,-5.36843908530618e-47,-6.804646360080359e-47,-6.489557600360647e-47,-4.899319871572665e-47,-3.8444471187583777e-47,-2.089121518067164e-47
-0.9325,1.5,1.0651551163139813e-43,-2.9781514210617374e-45,-3.770540592488916e-45,-3.5892724028818596e-45,-2.7042444473075282e-45,-2.115314517451757e-45,-1.1462818306651525e-45
-0.9275,1.5,5.525774447465205e-42,-1.5520043101414842e-43,-1.9633999716063533e-43,-1.8666997448829313e-43,-1.4045478653002076e-43,-1.0964596730329788e-43,-5.931511534906494e-44
-0.9225,1.5,3.1484557896683355e-40,-8.785251624818257e-42,-1.1125161046430529e-41,-1.0594857590648425e-41,-7.986640597302393e-42,-6.253396702977085e-42,-3.3922213744860086e-42
-0.9175,1.5,1.7403444436452953e-38,-4.865450163440355e-40,-6.159802872600083e-40,-5.863587526920812e-40,-4.417816024124942e-40,-3.455991539600169e-40,-1.873054862394995e-40
-0.9125,1.5,9.359548502032106e-37,-2.621869356600335e-38,-3.318250796079715e-38,-3.156985800098062e-38,-2.3771874291454827e-38,-1.8579683936791596e-38,-1.006185169680768e-38
-0.9075,1.5,4.5022368313873914e-35,-1.27196621457578e-36,-1.6076001502288566e-36,-1.5260727919051006e-36,-1.1463123583958774e-36,-8.925024857322345e-37,-4.81672220887183e-37
-0.9025,1.5,2.1635659683520862e-33,-6.114600976588161e-35,-7.726961017498592e-35,-7.333822744619377e-35,-5.50801636329389e-35,-4.287995166533548e-35,-2.3142810741485618e-35
-0.8975,1.5,9.508659938712953e-32,-2.7074111285630454e-33,-3.417254382769129e-33,-3.2371050849721665e-33,-2.425997423822915e-33,-1.882252657975396e-33,-1.0127552124786102e-33
