-0.9975,2.0,0.0,0.0
-0.9925,2.0,0.0,0.0
-0.9875,2.0,0.0,0.0
-0.9825,2.0,0.0,0.0
-0.9775,2.0,0.0,0.0
-0.9725,2.0,0.0,0.0
-0.9675,2.0,0.0,0.0
-0.9625,2.0,0.0,0.0
-0.9575,2.0,0.0,0.0
-0.9525,2.0,0.0,0.0
-0.9475,2.0,0.0,0.0
-0.9425,2.0,0.0,0.0
-0.9375,2.0,0.0,0.0
-0.9325,2.0,0.0,0.0
-0.9275,2.0,0.0,0.0
-0.9225,2.0,0.0,0.0
-0.9175,2.0,0.0,0.0
-0.9125,2.0,5.547069563707112e-42,-3.08852443432869e-42
-0.9075,2.0,1.8801361602117954e-38,-1.0472392425408173e-38
-0.9025,2.0,1.8404435414901503e-35,-1.0261136051503885e-35
-0.8975,2.0,6.944196126000155e-33,-3.879957466004681e-33
-0.8925,2.0,2.2379533162166916e-30,-1.251165953619663e-30
-0.8875,2.0,6.535902560182573e-28,-3.6555437717087544e-28
-0.8825000000000001,2.0,2.0184467196589784e-25,-1.1286023487204547e-25
-0.8775,2.0,6.312720259773667e-23,-3.527399559714741e-23
-0.8725,2.0,6.855028340572876e-21,-3.842168723853155e-21
-0.8674999999999999,2.0,6.689985765692409e-19,-3.5861463453223893e-19
-0.8625,2.0,6.623540645582781e-17,-2.0352924725300782e-17
-0.8575,1.9999999999999996,2.9451557308397254e-16,-1.086184353535742e-16
-0.8525,1.9999999999999976,1.5254524393764943e-15,-5.802786592089533e-16
-0.8475,1.9999999999999887,7.388784260559467e-15,-2.833748833815525e-15
-0.8425,1.999999999999951,3.221039423253022e-14,-1.2538166034879283e-14
-0.8375,1.9999999999998004,1.3074048703628578e-13,-5.157008783478863e-14
-0.8325,1.9999999999992424,4.957438944822929e-13,-1.9823517791114447e-13
-0.8275,1.9999999999973015,1.7641586535291754e-12,-7.153627901294388e-13
-0.8225,1.9999999999909475,5.9134721909719076e-12,-2.4321353502762334e-12
-0.8175,1.9999999999713054,1.87294184236025e-11,-7.814982041010872e-12
-0.8125,1.9999999999138078,5.621120394046122e-11,-2.3800680523646218e-11
-0.8075,1.9999999997540172,1.6027757762828587e-10,-6.888189988921002e-11
-0.8025,1.9999999993314288,4.352223748518614e-10,-1.898939159464716e-10
-0.7975,1.9999999982655963,1.1279517821740119e-09,-4.997562375012865e-10
-0.7925,1.9999999956967918,2.7956964843025694e-09,-1.2581267657936505e-09
-0.7875,1.999999989769643,6.63935203073403e-09,-3.0354539364705953e-09
-0.7825,1.9999999766542944,1.5134162772345328e-08,-7.0309559795667896e-09
-0.7775,1.9999999487782723,3.316657907710527e-08,-1.5660522378427454e-08
-0.7725,1.9999998917810424,6.998786499667835e-08,-3.359433287807858e-08
-0.7675,1.999999779510404,1.4241562059082514e-07,-6.95060672404058e-08
-0.7625,1.999999566180055,2.798373258807268e-07,-1.3889032541840427e-07
-0.7575000000000001,1.9999991746468244,5.316653059948395e-07,-2.6839848123525804e-07
-0.7525,1.9999984797117647,9.779166802458352e-07,-5.022119171196775e-07
-0.7475,1.9999972854837835,1.7434927236919866e-06,-9.109822673090753e-07
-0.7424999999999999,1.9999952962487528,3.0164594514163373e-06,-1.6037822843498944e-06
-0.7375,1.9999920810161083,5.0701528417122765e-06,-2.7432921052957277e-06
-0.7324999999999999,1.9999870329695024,8.288251763266457e-06,-4.564071852294605e-06
-0.7275,1.9999793263494086,1.319113460998933e-05,-7.393247150261896e-06
-0.7224999999999999,1.999967874674462,2.046097463260057e-05,-1.1672300840600225e-05
-0.7175,1.99995129541626,3.096229564449476e-05,-1.79780043826642e-05
-0.7125,1.999927886988922,4.575428920007024e-05,-2.7039953290655304e-05
-0.7075,1.9998956239280414,6.609125534257777e-05,-3.975182654673222e-05
-0.7025,1.9998521752308345,9.340817892515053e-05,-5.7173494144260296e-05
-0.6975,1.9997949489792748,0.00012928969916305947,-8.052153222783545e-05
-0.6925,1.9997211637264418,0.00017542245778549514,-0.00011114658551220099
-0.6875,1.999627944028841,0.0002335327943037451,-0.00015049727178900862
-0.6825,1.9995124344167994,0.00030531369277852013,-0.00020007180256821687
-0.6775,1.9993719235128866,0.0003923464530807328,-0.0002613599881274731
-0.6725,1.999203968371856,0.0004960234904586999,-0.000335779574961926
-0.6675,1.9990065087059206,0.0006174787965107562,-0.00042461172372353957
-0.6625,1.9987779615444567,0.0007575318987294106,-0.0005289407361869113
-0.6575,1.9985172889044445,0.0009166497522935691,-0.0006496028324423404
-0.6525000000000001,1.9982240338827182,0.0010949291162948979,-0.0007871479150492074
-0.6475,1.9978983237827146,0.0012920998977125854,-0.0009418169711271993
-0.6425000000000001,1.997540841998763,0.001507547983686155,-0.0011135362478562343
-0.6375,1.997152773005866,0.0017403544710617883,-0.0013019278015099606
-0.6325000000000001,1.996735726667997,0.0019893471047347545,-0.0015063346571352475
-0.6275,1.9962916490506848,0.0022531592225687462,-0.0017258577724751066
-0.6225,1.9958227270013154,0.002530291561649274,-0.001959401364156909
-0.6174999999999999,1.9953312930297609,0.002819172840919121,-0.0022057229574835844
-0.6125,1.9948197356002277,0.003118216015902711,-0.002463484751471468
-0.6074999999999999,1.9942904179161818,0.0034258684455722526,-0.002731303517595947
-0.6025,1.993745605636374,0.003740655924759247,-0.003007797253312583
-0.5974999999999999,1.9931874005722667,0.004061222702808268,-0.0032916282035263885
-0.5925,1.9926176730558556,0.004386372378583815,-0.003581543703599487
-0.5875,1.9920379801038883,0.004715118076096805,-0.0038764186738661304
-0.5825,1.991449449718642,0.005046754566029495,-0.004175306568147081
-0.5775,1.990852604147098,0.005380969671330302,-0.004477509076678507
-0.5725,1.9902470880158167,0.0057180164894771466,-0.004782678563556846
-0.5675,1.9896312634207813,0.006058970082681715,-0.0050909703186339215
-0.5625,1.9890016367916843,0.006406090073501898,-0.00540326296392466
-0.5575,1.988352095670249,0.006763301509392026,-0.005721463094468591
-0.5525,1.9876729607063846,0.007136788438162277,-0.006048902676830253
