-0.9975,2.0,0.0,0.0,0.0,0.0,0.0
-0.9925,2.0,0.0,0.0,0.0,0.0,0.0
-0.9875,2.0,0.0,0.0,0.0,0.0,0.0
-0.9825,2.0,0.0,0.0,0.0,0.0,0.0
-0.9775,2.0,0.0,0.0,0.0,0.0,0.0
-0.9725,2.0,0.0,0.0,0.0,0.0,0.0
-0.9675,2.0,0.0,0.0,0.0,0.0,0.0
-0.9625,2.0,0.0,0.0,0.0,0.0,0.0
-0.9575,2.0,0.0,0.0,0.0,0.0,0.0
-0.9525,2.0,0.0,0.0,0.0,0.0,0.0
-0.9475,2.0,2.178377972104922e-45,-1.4971896911249484e-46,-2.2397681757371855e-46,-3.029178285940371e-46,-3.1599487664407748e-46
-0.9425,2.0,2.4398708342688922e-42,-1.6797599547528995e-43,-2.5122854989345784e-43,-3.397278453476709e-43,-3.5422459640362973e-43
-0.9375,2.0,2.38953272991046e-39,-1.6455040888979384e-40,-2.4609679563700657e-40,-3.327820876747805e-40,-3.4695826637226585e-40
-0.9325,2.0,8.459770198726985e-37,-5.845586566255566e-38,-8.738275227605647e-38,-1.1813017890805e-37,-1.230437052416607e-37
-0.9275,2.0,2.651487267582167e-34,-1.8333922343302336e-35,-2.740397286512765e-35,-3.7044949968226786e-35,-3.857814369995252e-35
-0.9225,2.0,7.629281423129664e-32,-5.2777714731869945e-33,-7.888477850699163e-33,-1.0663772090126565e-32,-1.1103682774068328e-32
-0.9175,2.0,9.761574660892182e-30,-6.807286420502787e-31,-1.0163653018742407e-30,-1.3731601229892355e-30,-1.4265943310278862e-30
-0.9125,2.0,9.937270603079203e-28,-6.953308927287556e-29,-1.0378221206075157e-28,-1.40203921287073e-28,-1.4553008528132071e-28
-0.9075,2.0,9.739591229123031e-26,-6.811200834382601e-27,-1.0171360109148556e-26,-1.3748546063929268e-26,-1.4278708386187472e-26
-0.9025,2.0,9.319944981922644e-24,-6.496011257396223e-25,-9.71677296047348e-25,-1.3153083811648355e-24,-1.3693717716458572e-24
-0.8975,2.0,2.2036901715172705e-21,-1.4876711217622296e-22,-2.245723456592218e-22,-3.0579719241369747e-22,-3.2375812521357523e-22
-0.8925,2.0,2.260701631635076e-19,-1.4456460358146877e-20,-2.2129769066082952e-20,-3.034135757593151e-20,-3.302796161283205e-20
-0.8875,2.0,2.145084235409381e-17,-9.624271415139441e-19,-1.519245109456085e-18,-2.1042802861716095e-18,-2.438605726503166e-18
-0.8825000000000001,1.9999999999999998,1.980533033381023e-16,-7.857974401089089e-18,-1.2419999323002399e-17,-1.72057548508672e-17,-1.9994596585135622e-17
-0.8775,1.9999999999999987,9.885133591844312e-16,-4.049408444883035e-17,-6.381031804425269e-17,-8.831567930931052e-17,-1.0202837110431303e-16
-0.8725,1.9999999999999936,4.486735712740644e-15,-1.908121348699807e-16,-3.000427305286398e-16,-4.149987038563219e-16,-4.774340295612727e-16
-0.8674999999999999,1.9999999999999722,1.9395378840028494e-14,-8.4046501348356e-16,-1.3199656326635455e-15,-1.824944788511055e-15,-2.0944764552594484e-15
-0.8625,1.9999999999998883,7.825307210095527e-14,-3.4430195056870716e-15,-5.401199365738623e-15,-7.464662230087903e-15,-8.548277687545074e-15
-0.8575,1.9999999999995768,2.9664581827809554e-13,-1.3249756979755559e-14,-2.0761668919836785e-14,-2.8682177427388635e-14,-3.277277325579393e-14
-0.8525,1.999999999998486,1.061085816338136e-12,-4.813125638405539e-14,-7.533044634550137e-14,-1.0402641682274261e-13,-1.1858961745293805e-13
-0.8475,1.999999999994874,3.5924107290864674e-12,-1.6554184925301696e-13,-2.587747153675244e-13,-3.5719839900507153e-13,-4.062349422703444e-13
-0.8425,1.9999999999835294,1.1541921453030575e-11,-5.404802521215542e-13,-8.438076901180547e-13,-1.1642213081525952e-12,-1.3207650865301544e-12
-0.8375,1.9999999999496598,3.5272354906872576e-11,-1.6790527453238674e-12,-2.6179072867956514e-12,-3.6102672747158067e-12,-4.085118725324461e-12
-0.8325,1.9999999998533426,1.0274784658854443e-10,-4.973796076712057e-12,-7.744244181712146e-12,-1.0674430665490069e-11,-1.2045773361429958e-11
-0.8275,1.9999999995919397,2.8585033990990495e-10,-1.4076721953997206e-11,-2.1886032276103488e-11,-3.0150869345592517e-11,-3.3928177065938005e-11
-0.8225,1.999999998913682,7.608767793923825e-10,-3.8132134704965226e-11,-5.91974240168813e-11,-8.150573798970599e-11,-9.144551188537129e-11
-0.8175,1.9999999972284241,1.9409941266502878e-09,-9.903434742527885e-11,-1.535019238530574e-10,-2.1122049010038073e-10,-2.362452513990396e-10
-0.8125,1.9999999932125172,4.7527320785627635e-09,-2.46981873539069e-10,-3.8218857602953506e-10,-5.255569266302096e-10,-5.859157958195385e-10
-0.8075,1.999999984021569,1.1186719297688893e-08,-5.923308598828892e-10,-9.150147957654759e-10,-1.257394642883605e-09,-1.3970341305245405e-09
-0.8025,1.9999999637927606,2.5345144705335614e-08,-1.3679823644446104e-09,-2.109404705012757e-09,-2.8965756308264483e-09,-3.2067679605346698e-09
-0.7975,1.9999999209228656,5.5344896898063536e-08,-3.04632411536452e-09,-4.6884965041649725e-09,-6.433071707604844e-09,-7.095304031423179e-09
-0.7925,1.9999998333409923,1.166216299104353e-07,-6.5491289442233455e-09,-1.0059567448533603e-08,-1.379114894523258e-08,-1.5150983394103783e-08
-0.7875,1.9999996606635553,2.37410886368624e-07,-1.3608441503586616e-08,-2.0859326836071024e-08,-2.8571448903102537e-08,-3.1258847551350113e-08
-0.7825,1.9999993317575353,4.674336173538943e-07,-2.7361040737975777e-08,-4.184812709768662e-08,-5.726524252852515e-08,-6.237910064054954e-08
-0.7775,1.9999987259194738,8.910338738668198e-07,-5.328651589690459e-08,-8.131394678677317e-08,-1.1115603848940225e-07,-1.2052840227672845e-07
-0.7725,1.9999976457189272,1.6461241728355915e-06,-1.0062487215729491e-07,-1.5318189457996607e-07,-2.091681589759362e-07,-2.2571214959461693e-07
-0.7675,1.9999957797114827,2.950180612684856e-06,-1.84426565251172e-07,-2.8004460566724633e-07,-3.8194403504323925e-07,-4.100625173195925e-07
-0.7625,1.9999926538675803,5.134077059832135e-06,-3.2838602628383436e-07,-4.973182471415747e-07,-6.774112106181248e-07,-7.233933559765598e-07
-0.7575000000000001,1.9999875718292293,8.683658666638965e-06,-5.685778261273521e-07,-8.586714408863452e-07,-1.168014073523943e-06,-1.240267248330456e-06
-0.7525,1.999979546047695,1.4287595774019449e-05,-9.581425377720329e-07,-1.4427562592190861e-06,-1.959615720614754e-06,-2.068466528472162e-06
-0.7475,1.9999672243692872,2.288830301292906e-05,-1.5728516010564119e-06,-2.3610854089903324e-06,-3.2018150038822055e-06,-3.358467741047841e-06
-0.7424999999999999,1.999948819424342,3.5730766186641135e-05,-2.5173200298698814e-06,-3.7666551639742962e-06,-5.099084654673631e-06,-5.313158952000839e-06
-0.7375,1.9999220507374165,5.440234147007092e-05,-3.9314470574101885e-06,-5.8626345974238735e-06,-7.921755023347097e-06,-8.19665943295415e-06
-0.7324999999999999,1.9998841111745245,8.085542533274427e-05,-5.9964746372783345e-06,-8.910171640976029e-06,-1.2015506154584369e-05,-1.2340774673003136e-05
-0.7275,1.9998316695184162,0.00011740479747089293,-8.93989906959569e-06,-1.3234162800985042e-05,-1.7807768925431432e-05,-1.8147434977451564e-05
-0.7224999999999999,1.9997609191115742,0.0001666927614367742,-1.3038392999378377e-05,-1.922575723881766e-05,-2.5809358269382833e-05,-2.608550912942857e-05
-0.7175,1.999667678456123,0.00023161806363461028,-1.861792987689204e-05,-2.734046824830375e-05,-3.660983668524162e-05,-3.668071619096215e-05
-0.7125,1.9995475436977785,0.0003152287532850078,-2.605047192003963e-05,-3.809107115171913e-05,-5.086556574109804e-05,-5.049799092036957e-05
-0.7075,1.9993960858229807,0.0004205841057430823,-3.574688340497599e-05,-5.203496382296931e-05,-6.92801251364149e-05,-6.811654096020301e-05
-0.7025,1.999209078324799,0.0005505956547426748,-4.8146133903855834e-05,-6.97562998852745e-05,-9.257768218084115e-05,-9.009885241457284e-05
-0.6975,1.9989827353635956,0.0007078613442323236,-6.370130593073137e-05,-9.18438843213876e-05,-0.0001214708484857278,-0.00011695589204314484
-0.6925,1.9987139372438936,0.0008945089972650204,-8.286334743372264e-05,-0.000118866435633602,-0.0001566254075654652,-0.00014911153901615474
-0.6875,1.9984004201037349,0.001112065189828139,-0.00010606383893052412,-0.0001513472589587203,-0.0001986248845692794,-0.00018686969842125322
-0.6825,1.998040910198506,0.0013613631303022121,-0.00013369821883243041,-0.00018974055786342184,-0.0002479381438460816,-0.00023038750226639048
-0.6775,1.997635189522469,0.0016424986640265658,-0.0001661108963738355,-0.00023441150062733602,-0.00030489299212726426,-0.00027965747454520906
-0.6725,1.997184087666348,0.0019548378091373414,-0.000203583480913572,-0.000285621764291223,-0.00036965816086445677,-0.00033450059700538854
-0.6675,1.9966894033780815,0.0022970732501149493,-0.00024632700331101955,-0.00034352167045019857,-0.00044223513614769053,-0.0003945710079206387
-0.6625,1.9961537669005025,0.0026673219272909275,-0.0002944785583922243,-0.00040814929940140694,-0.0005224602424943638,-0.00045937178715863485
-0.6575,1.9955804597087967,0.0030632520228476997,-0.0003481023278490938,-0.0004794362364915635,-0.0006100163298402888,-0.0005282801215035649
-0.6525000000000001,1.994973211129701,0.0034822256907595015,-0.0004071945186570336,-0.0005572189711252703,-0.0007044525106240771,-0.0006005792666120394
-0.6475,1.9943359913811716,0.003921443881176493,-0.0004716914274793962,-0.000641254513975354,-0.0008052097572722041,-0.0006754942294489838
-0.6425000000000001,1.9936728181677124,0.0043780813248458636,-0.0005414796492942325,-0.0007312385647398393,-0.0009116498588625599,-0.0007522280208448927
-0.6375,1.9929875897421965,0.004849402720760841,-0.0006164073982640023,-0.000826824557602053,-0.0010230852550536216,-0.0008299956400927116
-0.6325000000000001,1.9922839520333218,0.005332854897412564,-0.000696295990929662,-0.0009276421107993599,-0.0011388075783363362,-0.0009080535735242624
-0.6275,1.9915652016618346,0.005826133760826763,-0.0007809507347686485,-0.0010333137700801929,-0.00125811328103064,-0.0009857234175907254
-0.6225,1.9908342207754635,0.006327228961174366,-0.0008701707457819493,-0.001143469422229511,-0.0013803254385856812,-0.0010624091829970963
-0.6174999999999999,1.9900934336005796,0.006834453422702984,-0.0009637575715366532,-0.0012577583375367248,-0.0015048116630538516,-0.001137608841078296
-0.6125,1.9893447680614225,0.0073464694558684224,-0.0010615229199606496,-0.001375859477055725,-0.001630999021914945,-0.001210921724080615
-0.6074999999999999,1.9885895981807158,0.007862328510480862,-0.0011632963039167868,-0.0014974914955857765,-0.0017583879652292688,-0.0012820545177176707
-0.6025,1.9878286338099216,0.008381548042064015,-0.0012689340304647204,-0.001622424821329964,-0.0018865685633830747,-0.0013508298355536085
-0.5974999999999999,1.9870617137601796,0.008904256296127,-0.0013783317052976569,-0.0017504993174709083,-0.0020152438683126946,-0.001417202755154515
-0.5925,1.9862874481351427,0.009431442996626311,-0.0014914432610153557,-0.0018816522824388012,-0.0021442668606393247,-0.001481292131574538
-0.5875,1.9855026490233048,0.00996535855139795,-0.0016083103491216248,-0.0020159627510233347,-0.0022736989873705566,-0.0015434346968226111
-0.5825,1.9847014912345822,0.010510102565146801,-0.0017291065439301524,-0.0021537188648366023,-0.0024038992395829625,-0.001604270358538533
-0.5775,1.9838743635502696,0.01107242921334623,-0.001854200850176206,-0.002295514941337946,-0.0025356523179035848,-0.0016648659279216247
-0.5725,1.9830064128161213,0.011662767619404534,-0.00198424405071007,-0.0024423831099867283,-0.0026703417731182596,-0.001726880814116527
-0.5675,1.9820758515389967,0.012296407469896752,-0.0021202790514718824,-0.002595960375076739,-0.002810168263491937,-0.001792771272270541
-0.5625,1.9810521904232854,0.012994736617680625,-0.002263872339806203,-0.002758685421793425,-0.002958403903184074,-0.0018660194609502066
