-0.9975,3.0,1.1697586781367268e-20,-6.827212294899859e-23,-9.134584787132112e-23,-8.749271539545679e-23,-8.59234163797128e-23,-5.472158799771858e-23
-0.9925,3.0,4.279671250269927e-19,-2.315641552168328e-21,-3.1626308204512638e-21,-3.0998747037395866e-21,-3.1650497610301803e-21,-2.075586612470114e-21
-0.9875,3.0,1.3164356700259425e-17,-5.555744068433864e-20,-7.883358343792832e-20,-8.13538678420046e-20,-8.934367546026337e-20,-6.49759761637218e-20
-0.9825,2.9999999999999996,1.8505992961678893e-16,-5.627684834274865e-19,-8.171893132937291e-19,-8.75626510473634e-19,-9.986199519676127e-19,-7.887917327742546e-19
-0.9775,2.9999999999999987,8.777998836627004e-16,-2.710879228350542e-18,-3.929040701900493e-18,-4.199777798330252e-18,-4.776274698747138e-18,-3.7587744660827864e-18
-0.9725,2.9999999999999947,3.106688083196885e-15,-1.0054074538052475e-17,-1.449368290425483e-17,-1.5374928817422965e-17,-1.734055742573877e-17,-1.3464236053928088e-17
-0.9675,2.999999999999982,1.0396655068087097e-14,-3.4655917337799296e-17,-4.977328154424034e-17,-5.2530795935839933e-17,-5.890359933280425e-17,-4.5338173998729184e-17
-0.9625,2.999999999999942,3.3623006968232635e-14,-1.144717725063904e-16,-1.6397652018483774e-16,-1.724501840168418e-16,-1.925835512100764e-16,-1.4734905628602764e-16
-0.9575,2.999999999999819,1.0467603399414924e-13,-3.628045130985841e-16,-5.185099556657072e-16,-5.436263945233939e-16,-6.049015129663145e-16,-4.60435750711555e-16
-0.9525,2.9999999999994564,3.136924297889719e-13,-1.1063295418643241e-15,-1.5775550235605385e-15,-1.6489588311242125e-15,-1.8282252700140072e-15,-1.384499716054462e-15
-0.9475,2.999999999998429,9.06630055359415e-13,-3.254784047685062e-15,-4.630452891762672e-15,-4.825148015081797e-15,-5.3300259707522044e-15,-4.0153313149734015e-15
-0.9425,2.9999999999956124,2.531274628143196e-12,-9.252755846781174e-15,-1.3132607541088594e-14,-1.3641838073287054e-14,-1.5012065569333586e-14,-1.1248911329248157e-14
